,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
11-03,0.0,0.15,0.9333333333333332,0.03333333333333333,0.8833333333333334,0.0,0.0,0.0,0.0,0.75,0.08333333333333333,1.2666666666666668,0.0,0.0,0.3,0.0,0.2833333333333333,0.0,0.0,0.0,0.5333333333333333,0.0,0.0,0.2333333333333333,0.6833333333333332,0.23333333333333336,0.0,0.0,0.16666666666666666,0.12857142857142856,0.0,0.028571428571428574,0.0,0.17142857142857146,0.625,1.2,0.0,0.08750000000000001,0.0,0.0,0.0,0.0,0.4875,0.0
11-04,0.0,0.15,0.8666666666666667,0.03333333333333333,0.8833333333333334,0.049999999999999996,0.0,0.0,0.0,0.7166666666666667,0.15,1.1833333333333333,0.049999999999999996,0.0,0.7333333333333334,0.0,0.25,0.0,0.0,0.0,0.5166666666666667,0.0,0.0,0.2333333333333333,0.6833333333333332,0.35000000000000003,0.0,0.0,0.45,0.12857142857142856,0.0,0.2,0.0,0.2714285714285714,0.6375,1.2,0.0,0.4375,0.0,0.0,0.0,0.0,0.75,0.0
11-05,0.0,0.15,0.8166666666666668,0.03333333333333333,0.8000000000000002,0.06666666666666667,0.0,0.0,0.0,0.6333333333333333,0.19999999999999998,0.75,0.06666666666666667,0.0,1.2333333333333334,0.0,0.25,0.0,0.2833333333333333,0.0,0.5166666666666667,0.0,0.0,0.2333333333333333,0.5833333333333334,0.5666666666666667,0.0,0.0,0.5333333333333333,0.12857142857142856,0.0,0.24285714285714288,0.0,0.32857142857142857,0.5125,1.1625,0.0,0.44999999999999996,0.0,0.0,0.0,0.0,0.8875,0.0
11-06,0.0,0.15,0.8000000000000002,0.06666666666666667,0.9333333333333332,0.08333333333333333,0.09999999999999999,0.0,0.016666666666666666,0.6,0.19999999999999998,0.5166666666666667,0.09999999999999999,0.0,1.4666666666666668,0.0,0.2833333333333333,0.0,0.3333333333333333,0.0,0.5166666666666667,0.0,0.0,0.25,0.6,0.39999999999999997,0.0,0.0,0.5666666666666668,0.12857142857142856,0.0,0.34285714285714286,0.0,0.3142857142857142,0.4375,1.0750000000000002,0.0,0.4875,0.0,0.0,0.0,0.025,0.925,0.0125
11-07,0.0,0.13333333333333333,0.8000000000000002,0.15,1.0833333333333333,0.08333333333333333,0.43333333333333335,0.0,0.11666666666666668,0.5833333333333334,0.16666666666666666,0.3833333333333333,0.09999999999999999,0.0,1.5,0.0,0.2833333333333333,0.0,0.6,0.0,0.5166666666666667,0.0,0.0,0.3,0.6,0.2833333333333334,0.0,0.0,0.45,0.12857142857142856,0.18571428571428572,0.32857142857142857,0.0,0.18571428571428572,0.3,1.0625,0.0,0.4875,0.0,0.0,0.2625,0.025,1.1375,0.1
11-08,0.0,0.13333333333333333,0.8500000000000001,0.16666666666666666,1.7,0.15,0.5333333333333333,0.0,0.2833333333333333,0.48333333333333334,0.19999999999999998,0.19999999999999998,0.18333333333333335,0.0,1.6000000000000003,0.016666666666666666,0.2833333333333333,0.0,0.7333333333333334,0.0,0.9333333333333332,0.0,0.6,0.35000000000000003,0.5166666666666667,0.20000000000000004,0.0,0.0,0.4166666666666667,0.1142857142857143,0.17142857142857143,0.32857142857142857,0.0,0.18571428571428572,0.3,1.0875000000000001,0.0,0.5625,0.0,0.0,0.35,0.025,1.5375,0.1
11-09,0.0,0.15,0.9333333333333332,0.26666666666666666,1.9833333333333334,0.25,0.6166666666666667,0.18333333333333335,0.4166666666666667,0.4166666666666667,0.15,0.05000000000000001,0.31666666666666665,0.0,1.7333333333333334,0.2833333333333333,0.2833333333333333,0.0,0.7833333333333333,0.0,0.9666666666666667,0.0,0.8833333333333333,0.4666666666666666,0.45,0.2333333333333333,0.13333333333333333,0.0,0.4166666666666667,0.09999999999999999,0.3428571428571429,0.38571428571428573,0.042857142857142864,0.14285714285714285,0.275,1.425,0.0,0.525,0.0,0.0,0.425,0.0375,1.7125,0.1
11-10,0.0,0.15,1.0833333333333333,0.26666666666666666,2.5666666666666664,0.3833333333333333,0.65,0.18333333333333335,0.6,0.35000000000000003,0.16666666666666666,0.0,0.35000000000000003,0.0,1.7166666666666668,0.35000000000000003,0.2833333333333333,0.016666666666666666,0.7999999999999999,0.0,1.0,0.0,1.1666666666666667,0.4166666666666667,0.3666666666666667,0.20000000000000004,0.2333333333333333,0.0,0.4166666666666667,0.09999999999999999,0.5714285714285714,0.39999999999999997,0.32857142857142857,0.11428571428571428,0.25,1.4375,0.0,0.5499999999999999,0.0,0.0,0.5,0.0375,1.6875,0.1
11-11,0.05,0.15,1.0999999999999999,0.31666666666666665,2.65,0.43333333333333335,0.6333333333333334,0.11666666666666665,0.6666666666666666,0.3,0.18333333333333335,0.0,0.35000000000000003,0.0,1.75,0.15,0.2833333333333333,0.049999999999999996,0.7833333333333333,0.0,1.05,0.0,1.3166666666666667,0.4166666666666667,0.3833333333333333,0.16666666666666666,0.43333333333333335,0.049999999999999996,0.5166666666666667,0.19999999999999998,0.5857142857142856,0.4714285714285714,0.39999999999999997,0.09999999999999999,0.25,1.425,0.0,0.525,0.0,0.0,0.5875,0.025,1.6875,0.1
11-12,0.125,0.21666666666666667,1.0999999999999999,0.35000000000000003,2.65,0.48333333333333334,0.6333333333333334,0.11666666666666665,0.75,0.26666666666666666,0.18333333333333335,0.016666666666666666,0.38333333333333336,0.0,1.8666666666666665,0.0,0.2833333333333333,0.08333333333333333,0.7999999999999999,0.0,1.1333333333333333,0.0,1.3833333333333335,0.4166666666666667,0.3333333333333333,0.16666666666666666,0.5166666666666667,0.06666666666666667,0.25,0.2571428571428572,0.5714285714285714,0.6285714285714287,0.4714285714285714,0.09999999999999999,0.2625,1.4,0.0,0.5125,0.0,0.0,0.6875,0.0,1.6625,0.1
